Date,Open,High,Low,Close,Adj Close,Volume
1/17/2023,79.919998,80.660004,79.760002,80.489998,80.247849,8492200
1/18/2023,80.940002,81.18,79.139999,79.269997,79.031517,7834300
1/19/2023,77.940002,78.75,76.669998,76.860001,76.628777,10411700
1/20/2023,77.589996,77.75,75.669998,77.68,77.446304,8261300
1/23/2023,77.610001,80.019997,77.540001,79.769997,79.530022,10957500
1/24/2023,78,80.849998,77.470001,80.699997,80.457222,13381800
1/25/2023,79.779999,81.349998,79.43,80.790001,80.546951,8501500
1/26/2023,81.480003,81.580002,80.120003,81.139999,80.895897,6511200
1/27/2023,81,83.989998,80.900002,83.230003,82.979614,7789500
1/30/2023,82.410004,82.75,80.669998,80.830002,80.58683,5726900
1/31/2023,80.449997,80.910004,79.470001,80.480003,80.237885,6883500
2/1/2023,80.269997,82.470001,80.010002,82.32,82.07235,7272300
2/2/2023,82.190002,84.029999,81.900002,83.940002,83.687477,8293000
2/3/2023,83.510002,83.690002,81.82,81.959999,81.713432,5778200
2/6/2023,81.470001,82.440002,81.239998,82.349998,82.102249,4329700
2/7/2023,81.980003,82.370003,80.540001,82.110001,81.862991,4702300
2/8/2023,81.690002,82.599998,81.300003,81.959999,81.713432,3407400
2/9/2023,82.339996,82.629997,80.440002,80.790001,80.546951,3861400
2/10/2023,80.809998,81.349998,80.400002,81.290001,81.045448,3490100
2/13/2023,81.199997,82.919998,81.080002,82.68,82.431259,4081600
2/14/2023,82.129997,83.809998,81.959999,83.540001,83.288681,5368500
2/15/2023,82.610001,84.790001,82.440002,84.769997,84.514977,5830500
2/16/2023,83.610001,84.540001,82.980003,84.050003,83.79715,4505900
2/17/2023,83.589996,83.82,82.230003,83.040001,82.790192,4424200
2/21/2023,82.139999,83.379997,81.809998,82.260002,82.012535,4071800
2/22/2023,82.160004,84.330002,82.099998,83.190002,82.939735,8642500
2/23/2023,83.489998,84.410004,81.900002,82.940002,82.690483,8077200
2/24/2023,81.760002,83.779999,81.650002,83.550003,83.298653,6946800
2/27/2023,84,84.860001,83.489998,83.839996,83.587776,6390500
2/28/2023,83.620003,85.650002,83.459999,84.709999,84.455162,9131000
3/1/2023,84.660004,85.360001,83.75,84.139999,83.886864,5996000
3/2/2023,83.599998,85.730003,83.379997,85.720001,85.462128,6820700
3/3/2023,85.900002,87.040001,85.150002,86.379997,86.120132,7676600
3/6/2023,86.639999,87.82,86.470001,87.059998,86.878548,6451800
3/7/2023,86.959999,87.580002,86.099998,86.389999,86.209946,6898200
3/8/2023,86.769997,87.410004,86.07,86.980003,86.798721,6063900
3/9/2023,89.959999,94.940002,89.769997,91.559998,91.369171,28592300
3/10/2023,91.900002,94.199997,90.790001,91,90.810341,18477800
3/13/2023,89.699997,90.730003,87.660004,88.970001,88.784569,11334000
3/14/2023,91.169998,93.080002,90.199997,91.169998,90.97998,11347500
3/15/2023,88.989998,89.760002,86.449997,89.760002,89.572922,12057300
3/16/2023,89.400002,92.099998,88.57,91.970001,91.77832,8127600
3/17/2023,91.790001,91.830002,89.349998,90.290001,90.101822,10188100
3/20/2023,90.629997,91.230003,89.410004,89.919998,89.732582,6947600
3/21/2023,90.980003,93.040001,90.959999,92.18,91.987885,6826800
3/22/2023,92.489998,92.599998,89.550003,89.589996,89.403267,7011000
3/23/2023,90.629997,92.949997,90.529999,91.589996,91.399109,8647000
3/24/2023,90.57,92.349998,90.32,91.370003,91.179573,6658400
3/27/2023,92.279999,93.639999,92.110001,93.309998,93.115524,6005200
3/28/2023,93.339996,93.739998,92.559998,93.139999,92.945885,4008900
3/29/2023,93.970001,94.419998,93.669998,94.059998,93.86396,4918000
3/30/2023,93.949997,94.309998,93.559998,94.050003,93.853989,5285800
3/31/2023,94.529999,95.669998,94.309998,95.599998,95.400757,7380200
4/3/2023,95.75,96.940002,95.360001,96.919998,96.718002,4947700
4/4/2023,96.959999,97.870003,94.669998,95.050003,94.851906,6827600
4/5/2023,94.980003,95.32,93.660004,94.25,94.053566,8493400
4/6/2023,94.120003,94.389999,93.540001,93.599998,93.404915,6404900
4/10/2023,93.830002,94.989998,93.610001,94.360001,94.163338,5985500
4/11/2023,94.510002,94.959999,93.879997,93.910004,93.714272,5317700
4/12/2023,94.260002,94.669998,93.809998,94.099998,93.903877,6997700
4/13/2023,94.379997,94.690002,93.470001,94.300003,94.103455,8814600
4/14/2023,93.860001,95.639999,93.809998,95.440002,95.241089,5755600
4/17/2023,95.620003,96.849998,95.480003,96.769997,96.568314,6126100
4/18/2023,97,98.519997,96.860001,98.470001,98.264771,7110800
4/19/2023,98.580002,99.309998,98.419998,99.029999,98.823608,5617000
4/20/2023,99.300003,100.470001,99.059998,99.760002,99.552086,6912400
4/21/2023,99.980003,100.080002,99.129997,99.510002,99.302597,4080400
4/24/2023,99.580002,100.769997,99.580002,100.150002,99.941269,6251800
4/25/2023,101.949997,102.010002,97.550003,98.440002,98.234833,9297500
4/26/2023,98.230003,98.449997,96.089996,96.209999,96.009483,6410500
4/27/2023,97.019997,98.190002,96.599998,98.059998,97.855629,7461000
4/28/2023,97.129997,99.720001,96.879997,98.970001,98.763725,5010800
5/1/2023,99.489998,102,99.370003,101.18,100.969124,5912400
